software,counts,document
FAUST,119,5
DeepFinder,102,3
code,100,13
WebAudio,66,1
PageRank,58,2
Matlab,51,18
STAPLE,43,2
DSP,39,1
HEVC,36,2
DeepMOT,34,2
WebAssembly,32,1
EEGNet,30,2
pRQA,29,2
iSDR,28,2
MTObject,27,1
MATLAB,27,16
FlowNetS,26,2
Defend++,25,2
Synthesizer,25,1
VoxCeleb,24,3
FlowNet,22,3
TensorFlow,18,4
PyTorch,18,8
LaMem,18,2
PILOT,17,1
QTdepthMap,17,3
ResUnet,17,1
software,16,2
Scaper,16,6
SepConv,15,2
KITTI,15,1
Android,14,1
PixRNet,14,2
MIDI,14,1
Audioset,14,4
CUAVE,14,2
ARROM,13,2
SPARKLING,13,3
Blender,13,5
FedPer,13,2
FeatRNet,12,1
APHYN,12,2
Nao,12,2
WebAudio API,12,1
Pytorch,12,5
DiagBiRNN,11,2
OCaml,11,1
Sintel,11,2
ComDefend,11,1
DBSCAN,11,2
WildVVAD,10,1
KIKI,10,2
Learnlets,10,3
scripts,10,2
library,10,1
AudioWorklet,10,1
MoNuSeg,9,2
MotionSense,9,1
FUSS,9,2
Proq3D,9,2
NUFFT,9,1
iLASSO,9,2
GloptiPoly,9,3
FASST,8,2
VGGish,8,2
Plug,8,2
CorteXlab,8,1
W ptr,8,1
DenseNet,8,2
ITK,8,3
HyRes,8,2
MOTChallenge,8,1
Deep3D,8,2
Arduino,8,2
program,7,2
Xarticul,7,1
JSPatcher,7,2
LibriSpeech,7,4
LabView,7,3
scipy,7,2
Deconvolution,7,2
FAUST IDE,7,1
gzip,7,1
JPEG Pleno VM,7,1
ADAM,7,3
CONCRETE,7,2
SpeexDSP,6,2
GreedyRate,6,2
MSAF,6,1
NAOLab,6,1
CycleGAN,6,2
DCASE,6,1
Autoencoder,6,1
ITK-SNAP,6,1
Praat,6,2
Pyroomacoustics,6,1
BLASTER,6,1
InfNorm,6,2
OreModules,6,2
Emscripten,6,1
implementation,6,1
DIC Challenge,6,1
DeepPoly,5,2
FloPoCo,5,1
SKUA,5,2
ELAN,5,2
DeepGlobe,5,1
Chrome,5,2
Adam,5,3
PurePix,5,1
Blendshape,5,2
OpenL3,5,2
Firefox,5,1
Chromium,5,1
Linux,5,2
PySAP,5,2
Amped Studio,5,1
VoxCeleb1,5,2
POLYCOST,5,2
EfficientNet,5,2
MobiAct,5,1
TimeSide,4,2
Windows,4,1
WebAudio Plugins,4,1
ProbFlow,4,2
RatioCut,4,2
DnCNN,4,1
AudioSet,4,2
SurFree,4,2
Pyetomo,4,2
FiXiF,4,1
MSRNet,4,1
OpenViBE,4,3
LiteFlownet,4,1
mrtrix,4,3
PyTOM,4,1
dmipy,4,2
SpeechBrain,4,1
NS3,4,3
EUGkM,4,2
WebComponents,4,1
BioPyC,4,2
MTObject/Sourcerer,3,2
EpicFlow,3,1
SPIDEr,3,1
SegNet,3,1
Tacotron,3,2
getAllCellInfos,3,1
EP-Net,3,2
AudioWorkletProcessor,3,1
WebMIDI,3,1
VectorLWE,3,1
VectorRLWE,3,1
Inria,3,1
SuperCollider,3,2
RandTrain,3,1
SDPT3,3,1
MOTA,3,1
package,3,2
LeMatch,3,1
Pyetomo toolbox,3,1
SuperSloMo,3,1
FeFlow,3,2
Firefox Nightly,3,1
macOS,3,1
getAllCellInfo,3,1
PhoneStateListener,3,1
ConvBlocks,3,1
SoundFont,3,2
k-wave toolbox,3,1
IMOD,3,1
MOABB,3,1
meshlab,3,1
Keras,3,1
LOUPE,3,2
Kaldi,3,3
Roomsimove,3,1
FixIIR,3,2
BSpeckleRender,3,1
FMRIB Software Library (FSL),2,2
Frugally deep library,2,1
Scipy,2,1
OpenSSL,2,1
Tensorlab,2,3
NuClick,2,1
BCDataset,2,1
SciPy,2,1
WebAudioModules,2,2
MAPL,2,2
OpenviBE,2,3
HLRA,2,1
QuillenSuslin,2,1
VoroMQA,2,1
Mathematical Components,2,1
BeamformIt,2,1
Leaspy,2,2
3DSlicer,2,1
sbi,2,2
DeepLabV3,2,2
programs,2,1
TEmIt,2,2
SoundTrap,2,1
MetaOCaml,2,2
WebAudio Plugin,2,1
Diaz,2,2
madmom,2,1
WebGL,2,1
WebSocket,2,1
Freesurfer,2,1
OpenMEEG,2,2
Roomsim,2,2
Gurobi,2,2
Lab-View,2,2
ffmpeg,2,2
WADA,2,2
Play,2,2
NumPy,2,2
LAPACK,2,1
-PageRank,2,1
AnalyserNode,2,1
Snoopy,2,1
Anima,2,1
Skateboard,2,1
WebApp,2,1
libmicrohttpd,2,1
sed eval,2,1
IterATive Optimization,2,1
MedInria,2,1
ROOMSIM,2,1
Mobilenetv,2,1
Kaldi toolkit,2,3
Deep-MOT,2,1
BCI software,2,2
wav2letter++,2,2
XPDNet,2,2
AlphaCSC,2,2
SPARSECODING,2,1
DeepFool,2,2
MVField,2,1
StarDist,2,2
WebAudio filter API,2,1
ScriptProcessor,2,1
DICTUPDATE,2,1
Resnet,2,1
EEGLAB,2,1
sed,2,1
DIRHA,2,1
Open-Unmix,2,1
asm.js,2,1
pysap-mri,2,1
Matlab Light Field Toolbox,2,3
fminunc,2,1
MNE,2,2
Labview,2,2
ImageJ,2,3
scikit,2,1
CUDA,1,1
It,1,2
Flexible Audio Source Separation Toolbox (FASST),1,1
Audionamix XTRAX STEMS,1,1
AudioSourceRE,1,1
MTG,1,1
DeepConvSep,1,1
PyGSP,1,1
Audio Inpainting Toolbox,1,2
Structured Sparsity Toolbox,1,1
LTFAT,1,1
Large Time-Frequency Analysis Toolbox,1,1
Declipper,1,1
Analysis SParse Audio DEclipper,1,1
BV-Ana,1,1
FiniteWave,1,1
PyRQA),1,1
Cross Recurrence Plot Toolbox,1,1
ActiView,1,1
SPTK,1,2
ROS Kinetic,1,2
ReLu,1,1
-MTObject,1,1
Mo-tionSense,1,1
CodeCarbon,1,1
MixUp,1,1
propag-5,1,2
Arc,1,2
lmfit,1,2
Scikit-learn,1,1
modopt,1,2
LIBSVM,1,1
